date,p1_name,p2_name,pick,side,odds,stake,pnl,result,event_id
2026-03-12T20:12:00Z,Martin Huk,Jakub Kycelt,Martin Huk,P1,2.15,600.0,-600.0,LOSS,437556756529414418
2026-03-12T16:16:00Z,Denis Hofman,Petr Sebera,Petr Sebera,P2,2.05,100.0,-100.0,LOSS,2833816468070727985
2026-03-12T16:13:00Z,Denis Hofman,Petr Sebera,Petr Sebera,P2,2.05,300.0,-300.0,LOSS,544150917033885970
2026-03-12T14:35:00Z,Petr Sebera,Jiri Louda,Petr Sebera,P1,2.15,420.0,483.0,WIN,7538460642307604785
2026-03-12T11:45:00Z,Jaroslav Novotny,Milan Fisera,Jaroslav Novotny,P1,1.53,150.0,78.95,WIN,1409601817687490865
2026-03-12T00:43:00Z,Petr Sebera,Alesh Bayer,Petr Sebera,P1,1.54,110.0,59.46,WIN,8996622738793824561
2026-03-11T22:51:00Z,Jakub Tazler,Martin Sychra,Jakub Tazler,P1,1.71,250.0,-250.0,LOSS,3617263208001306899
2026-03-11T22:50:00Z,Jakub Tazler,Martin Sychra,Jakub Tazler,P1,1.71,50.0,0.0,CASHOUT,7869471046552912147
2026-03-11T22:44:00Z,Jakub Tazler,Martin Sychra,Jakub Tazler,P1,1.71,550.0,0.0,CASHOUT,232529224395784497
2026-03-11T20:40:00Z,Radek Rose,Martin Huk,Radek Rose,P1,2.55,50.0,-50.0,LOSS,2003817049863881009
2026-03-11T13:13:00Z,Radim Urbaniec,Matyas Navedla,Matyas Navedla,P2,1.61,120.0,72.73,WIN,7504070097112269105
2026-03-11T00:41:00Z,Milan Smrcek,Petr Picek,Milan Smrcek,P1,1.87,120.0,104.35,WIN,3348481740309135665
2026-03-10T19:10:00Z,Radovan Polasek,David Szotek,Radovan Polasek,P1,1.71,85.0,60.71,WIN,3143766657483276562
2026-03-10T19:09:00Z,Radovan Polasek,David Szotek,Radovan Polasek,P1,1.71,75.0,53.57,WIN,6351610523217428754
2026-03-10T11:42:00Z,Jiri Ruzicka,Vojtech Svechota,Jiri Ruzicka,P1,4.75,25.0,-25.0,LOSS,3801134573682966
2026-03-10T11:41:00Z,Jiri Ruzicka,Vojtech Svechota,Jiri Ruzicka,P1,6.5,50.0,-50.0,LOSS,8991247662921679127
2026-03-10T02:39:00Z,Alesh Bayer,Martin Skakal,Martin Skakal,P2,1.77,5.0,-5.0,LOSS,4836546239145312534
2026-03-09T23:06:00Z,Martin Sychra,Alesh Bayer,Martin Sychra,P1,1.63,450.0,-450.0,LOSS,1052523143329087792
2026-03-09T20:05:00Z,Sebastian Kasnik,Marcel Pikous,Sebastian Kasnik,P1,2.1,225.0,247.5,WIN,3840945244094988566
2026-03-09T11:36:00Z,Julius Didi,Milan Cetner,Milan Cetner,P2,1.21,100.0,21.05,WIN,3239598262646341910
2026-03-08T07:17:00Z,Alois Kanak,Michal Blaha,Alois Kanak,P1,2.8,30.0,-30.0,LOSS,8035911530736386327
2026-03-07T02:09:00Z,K. Brozhik,Marcel Pikous,K. Brozhik,P1,2.0,5.0,5.0,WIN,4916702852610654512
2026-03-06T19:53:00Z,Jakub Levicky,Jan Kantor,Jakub Levicky,P1,2.4,275.0,-275.0,LOSS,6512853778742509846
2026-03-06T15:54:00Z,Ondrej Paril,Martin Biolek,Martin Biolek,P2,1.8,100.0,80.0,WIN,1035448769950384407
2026-03-06T11:02:00Z,Petr Saleny,Oleksandr Kolisnyk,Oleksandr Kolisnyk,P2,1.2,25.0,5.0,WIN,8710302667861262640
2026-03-05T17:07:00Z,Marek Fabini,Michal Vavrecka,Marek Fabini,P1,2.05,50.0,-50.0,LOSS,473052510022664466
2026-03-05T17:06:00Z,Marek Fabini,Michal Vavrecka,Marek Fabini,P1,2.05,30.0,-30.0,LOSS,7135066580240695571
2026-03-05T16:20:00Z,Vojtech Koubek,Josef Medek,Josef Medek,P2,1.42,50.0,-50.0,LOSS,2413851917517193521
2026-03-05T16:04:00Z,Vojtech Koubek,Josef Medek,Josef Medek,P2,1.42,60.0,0.0,CASHOUT,6115184244206731569
