date,p1_name,p2_name,pick,side,odds,stake,pnl,result,event_id
2026-03-25T16:00:00Z,"Sebera, Petr",,"Sebera, Petr",P1,1.87,287.5,250.0,WIN,BO-949334580-1
2026-03-24T16:00:00Z,"Postelt, Tomas",,"Postelt, Tomas",P1,1.909,275.0,250.0,WIN,BO-949108258-1
2026-03-24T16:00:00Z,"Volhejn, Dan",,"Volhejn, Dan",P1,1.833,1.21,-1.21,LOSS,BO-949108249-1
2026-03-24T16:00:00Z,"Postelt, Tomas",,"Postelt, Tomas",P1,1.909,275.0,250.0,WIN,BO-949108162-1
2026-03-23T16:00:00Z,"Volhejn, Dan",,"Volhejn, Dan",P1,1.833,200.0,166.67,WIN,BO-948909715-1
2026-03-23T16:00:00Z,"Zika, Tadeas",,"Zika, Tadeas",P1,2.21,250.0,-250.0,LOSS,BO-948887300-1
2026-03-23T16:00:00Z,"Zika, Tadeas",,"Zika, Tadeas",P1,2.31,250.0,-250.0,LOSS,BO-948887191-1
2026-03-22T16:00:00Z,"Brozhik, Karel",,"Brozhik, Karel",P1,2.32,100.0,-100.0,LOSS,BO-948697481-1
2026-03-22T16:00:00Z,"Brozhik, Karel",,"Brozhik, Karel",P1,2.13,250.0,-250.0,LOSS,BO-948696836-1
2026-03-22T16:00:00Z,"Brozhik, Karel",,"Brozhik, Karel",P1,2.24,250.0,-250.0,LOSS,BO-948696486-1
2026-03-21T16:00:00Z,"Dolezal, Vaclav",,"Dolezal, Vaclav",P1,1.435,200.0,-200.0,LOSS,BO-948400668-1
2026-03-21T16:00:00Z,"Barta, Miroslav",,"Barta, Miroslav",P1,1.602,65.0,39.16,WIN,BO-948156926-1
2026-03-20T16:00:00Z,"Urbaniec, Radim",,"Urbaniec, Radim",P1,2.09,250.0,-250.0,LOSS,BO-947877792-1
2026-03-20T16:00:00Z,"Louda, Jiri",,"Louda, Jiri",P1,1.735,80.0,58.82,WIN,BO-947855580-1
2026-03-20T16:00:00Z,"Ruzicka, Jiri",,"Ruzicka, Jiri",P1,2.42,135.0,-135.0,LOSS,BO-947816684-1
2026-03-20T16:00:00Z,"Saleny, Petr",,"Saleny, Petr",P1,2.53,100.0,-100.0,LOSS,BO-947807736-1
2026-03-20T16:00:00Z,"Saleny, Petr",,"Saleny, Petr",P1,2.28,250.0,-250.0,LOSS,BO-947806714-1
2026-03-20T16:00:00Z,"Saleny, Petr",,"Saleny, Petr",P1,2.43,250.0,-250.0,LOSS,BO-947806419-1
2026-03-19T16:00:00Z,"Klement, Milan",,"Klement, Milan",P1,3.35,120.0,282.0,WIN,BO-947381965-1
2026-03-19T16:00:00Z,"Vejvoda, Viktor",,"Vejvoda, Viktor",P1,2.89,250.0,-250.0,LOSS,BO-947353660-1
2026-03-18T16:00:00Z,"Strnad, Jaroslav (1964)",,"Strnad, Jaroslav (1964)",P1,1.82,50.0,40.98,WIN,BO-947203317-1
2026-03-18T16:00:00Z,"Vavrecka, Michal",,"Vavrecka, Michal",P1,2.09,100.0,109.0,WIN,BO-947153337-1
2026-03-18T16:00:00Z,"Vavrecka, Michal",,"Vavrecka, Michal",P1,2.21,250.0,302.5,WIN,BO-947153003-1
2026-03-18T16:00:00Z,"Vavrecka, Michal",,"Vavrecka, Michal",P1,2.24,250.0,310.0,WIN,BO-947152548-1
2026-03-18T16:00:00Z,"Kolar, Milan",,"Kolar, Milan",P1,1.833,75.0,62.5,WIN,BO-947109512-1
2026-03-18T16:00:00Z,"Barta, Tomas",,"Barta, Tomas",P1,1.588,30.0,-30.0,LOSS,BO-947062574-1
2026-03-17T16:00:00Z,"Zika, Tadeas",,"Zika, Tadeas",P1,2.46,250.0,-250.0,LOSS,BO-946765973-1
2026-03-17T16:00:00Z,"Zika, Tadeas",,"Zika, Tadeas",P1,2.46,250.0,-250.0,LOSS,BO-946765825-1
2026-03-17T16:00:00Z,"Pokorny, Adam",,"Pokorny, Adam",P1,2.28,80.0,-80.0,LOSS,BO-946763961-1
2026-03-17T16:00:00Z,"Pokorny, Adam",,"Pokorny, Adam",P1,2.35,250.0,-250.0,LOSS,BO-946763827-1
2026-03-17T16:00:00Z,"Paril, Ondrej",,"Paril, Ondrej",P1,1.625,150.0,93.75,WIN,BO-946762523-1
2026-03-17T16:00:00Z,"Paril, Ondrej",,"Paril, Ondrej",P1,1.667,375.0,250.0,WIN,BO-946762439-1
2026-03-17T16:00:00Z,"Zika, Tadeas",,"Zika, Tadeas",P1,2.15,250.0,287.5,WIN,BO-946754217-1
2026-03-17T16:00:00Z,"Jungman, Filip",,"Jungman, Filip",P1,1.465,280.0,130.23,WIN,BO-946753469-1
2026-03-16T16:00:00Z,"Sobisek, Martin",,"Sobisek, Martin",P1,1.909,275.0,-275.0,LOSS,BO-946631894-1
2026-03-16T16:00:00Z,"Brozhik, Karel",,"Brozhik, Karel",P1,2.03,50.0,51.5,WIN,BO-946615101-1
2026-03-16T16:00:00Z,"Petracek, Vratislav",,"Petracek, Vratislav",P1,2.15,80.0,92.0,WIN,BO-946587542-1
2026-03-15T16:00:00Z,"Louda, Jiri",,"Louda, Jiri",P1,2.21,105.0,127.05,WIN,BO-946444611-1
2026-03-15T16:00:00Z,"Louda, Jiri",,"Louda, Jiri",P1,2.32,250.0,330.0,WIN,BO-946444285-1
2026-03-15T16:00:00Z,"Babinec, Zdenek",,"Babinec, Zdenek",P1,1.741,335.0,248.15,WIN,BO-946416096-1
2026-03-15T16:00:00Z,"Vejvoda, Viktor",,"Vejvoda, Viktor",P1,2.74,225.0,391.5,WIN,BO-946356413-1
2026-03-13T16:00:00Z,"Sychra, Martin",,"Sychra, Martin",P1,1.69,200.0,137.93,WIN,BO-945705874-1
2026-03-13T16:00:00Z,"Sebera, Petr",,"Sebera, Petr",P1,1.556,175.0,97.22,WIN,BO-945705701-1
2026-03-13T16:00:00Z,"Sychra, Martin",,"Sychra, Martin",P1,1.752,332.5,250.0,WIN,BO-945705306-1
2026-03-13T16:00:00Z,"Sebera, Petr",,"Sebera, Petr",P1,1.588,425.0,250.0,WIN,BO-945704938-1
2026-03-13T16:00:00Z,"Bayer, Ales",,"Bayer, Ales",P1,1.524,140.0,73.3,WIN,BO-945698370-1
2026-03-13T16:00:00Z,"Zika, Tadeas",,"Zika, Tadeas",P1,2.15,250.0,287.5,WIN,BO-945654772-1
2026-03-12T16:00:00Z,"Novotny, Jaroslav",,"Novotny, Jaroslav",P1,1.588,420.0,247.06,WIN,BO-945360784-1
2026-03-12T16:00:00Z,"Jindrak, Lukas",,"Jindrak, Lukas",P1,1.448,300.0,134.53,WIN,BO-945360430-1
2026-03-11T16:00:00Z,"Sebera, Petr",,"Sebera, Petr",P1,2.03,125.0,-125.0,LOSS,BO-945234047-1
2026-03-11T16:00:00Z,"Rose, Radek",,"Rose, Radek",P1,2.87,225.0,-225.0,LOSS,BO-945189576-1
2026-03-10T16:00:00Z,"Smrcek, Milan",,"Smrcek, Milan",P1,1.87,205.0,178.26,WIN,BO-944990805-1
2026-03-10T16:00:00Z,"Havel, Jiri",,"Havel, Jiri",P1,2.22,40.0,-40.0,LOSS,BO-944978534-1
2026-03-10T16:00:00Z,"Havel, Jiri",,"Havel, Jiri",P1,2.24,100.0,-100.0,LOSS,BO-944977794-1
2026-03-10T16:00:00Z,"Havel, Jiri",,"Havel, Jiri",P1,2.24,100.0,-100.0,LOSS,BO-944977167-1
2026-03-09T16:00:00Z,"Pleskot, Jan",,"Pleskot, Jan",P1,2.71,125.0,-125.0,LOSS,BO-944626229-1
2026-03-09T16:00:00Z,"Janata, Tomas",,"Janata, Tomas",P1,2.69,30.0,-30.0,LOSS,BO-944590214-1
2026-03-09T16:00:00Z,"Saleny, Petr",,"Saleny, Petr",P1,2.27,185.0,234.95,WIN,BO-944583727-1
2026-03-09T16:00:00Z,KYRYL DARIN,,KYRYL DARIN,P1,,25.0,-25.0,LOSS,BO-944577775-1
2026-03-09T16:00:00Z,KYRYL DARIN,,KYRYL DARIN,P1,,25.0,-25.0,LOSS,BO-944577567-1
2026-03-09T16:00:00Z,"Kasnik, Sebastian",,"Kasnik, Sebastian",P1,2.05,75.0,78.75,WIN,BO-944535063-1
2026-03-09T16:00:00Z,"Simecek, Jan",,"Simecek, Jan",P1,2.15,95.0,-95.0,LOSS,BO-944515928-1
2026-03-09T16:00:00Z,"Blejchar, Marek",,"Blejchar, Marek",P1,2.7,30.0,51.0,WIN,BO-944503792-1
2026-03-09T16:00:00Z,"Kasnik, Sebastian",,"Kasnik, Sebastian",P1,2.05,25.0,-25.0,LOSS,BO-944503369-1
2026-03-09T16:00:00Z,"Kolek, Matyas",,"Kolek, Matyas",P1,1.735,15.0,11.03,WIN,BO-944502172-1
2026-03-08T16:00:00Z,"Holovatiuk, Yurii",,"Holovatiuk, Yurii",P1,2.7,40.0,68.0,WIN,BO-944270022-1
2026-03-07T16:00:00Z,"Kolar, Milan",,"Kolar, Milan",P1,2.14,40.0,-40.0,LOSS,BO-943801921-1
2026-03-07T16:00:00Z,"Kostak, Matej",,"Kostak, Matej",P1,1.602,30.0,18.07,WIN,BO-943801835-1
2026-03-07T16:00:00Z,"Barta, Tomas",,"Barta, Tomas",P1,3.35,30.0,70.5,WIN,BO-943801720-1
